time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010462349642	48.1504	17.2914	3.08631	0.157222	-0.238622	lidar	0.516283	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1245	17.2832	2.96012	0.152463	-0.248343	radar	0.182439	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6219	19.0542	3.255	0.870064	0.372414	lidar	1.41447	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6007	19.0401	3.34399	0.834133	0.326789	radar	0.221794	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.7115	19.913	2.71772	0.0909366	-0.37627	lidar	2.21981	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6817	19.9149	2.85528	0.13431	-0.313973	radar	0.437212	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.033	21.0778	2.85527	0.545024	0.153026	lidar	0.833649	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0001	21.0641	2.83907	0.531939	0.141125	radar	0.319545	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6543	21.7896	3.26681	0.123681	-0.213905	lidar	0.508176	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6496	21.786	3.08501	0.100215	-0.244044	radar	0.054013	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8763	22.7775	2.53779	0.446476	0.135302	lidar	0.581096	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8587	22.7653	2.75862	0.412718	0.10435	radar	0.313142	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3765	23.4119	3.15218	0.171101	-0.11748	lidar	0.206002	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4526	23.4363	2.77798	0.124103	-0.173785	radar	2.18317	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3327	23.9895	3.82545	0.233569	0.00716488	lidar	0.345769	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.2128	23.9522	2.62235	0.24464	-0.0370408	radar	3.27099	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.2629	24.3583	2.50773	0.215409	-0.0322455	lidar	0.00269345	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3507	24.39	2.66028	0.223078	-0.0274093	radar	1.98799	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8235	24.8829	3.21172	0.213894	-0.0156456	lidar	0.0638603	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7781	24.8648	2.48418	0.206477	-0.046756	radar	0.709906	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.8915	24.7195	2.46257	-0.141426	-0.235028	lidar	0.123399	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9412	24.7365	2.50956	-0.140205	-0.240634	radar	0.679213	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	74.9998	25.2458	2.25307	0.33213	0.199899	lidar	0.751363	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	74.9835	25.2435	2.16407	0.330334	0.20043	radar	0.0468875	74.9748	25.1378	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1148	24.9487	2.30405	-0.36458	-0.35431	lidar	1.06084	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1371	24.9532	2.22637	-0.39351	-0.393594	radar	0.188213	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.0987	25.0158	1.92683	0.0838416	0.159522	lidar	1.42496	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.1065	25.0201	1.91217	0.0858331	0.158332	radar	0.0317482	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.806	24.8754	2.06185	-0.0352123	-0.0137133	lidar	0.105843	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.848	24.8818	1.79285	-0.0735362	-0.085237	radar	1.21856	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6167	24.6377	2.40292	-0.107712	-0.0532458	lidar	0.0738286	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5667	24.6184	1.97627	-0.213778	-0.236109	radar	0.786924	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1703	24.5407	1.96096	-0.0167483	0.0230178	lidar	0.270489	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1605	24.5446	1.78391	-0.0370516	-0.0231313	radar	0.200585	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6385	23.8195	1.84289	-0.527045	-0.305247	lidar	0.287757	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.6975	23.8355	1.95764	-0.50791	-0.290524	radar	0.839364	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9405	23.512	1.2156	-0.281818	0.0167261	lidar	0.572422	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.0627	23.5453	1.3692	-0.222924	0.0489131	radar	3.81589	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.8146	22.7956	2.72566	-0.447218	-0.116814	lidar	0.414698	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
